Ball,Ball Number,Bowler,Batsman,Runs,is_wicket,bowler_good,Description,match_id,city,total_runs,over,ball_in_over,continuous_ball_index,overs_bowled,overs_completed,balls_in_current_over,actual_over_ball,is_original_ball_number,current_run_rate,total_overs,target,runs_needed,overs_remaining,required_run_rate,wickets_fallen,wickets_in_hand
1,0.1,Tendulkar,Brook,0,False,1,inswinging low full toss. Kept out by Brook. Surprised a touch by the length,25,Hyderabad,0,0,1,0,0.16666666666666666,0,1,0.1,True,0.0,20,193,193,19.833333333333332,9.73109243697479,0,10
2,0.2,Tendulkar,Brook,1,False,0,shape back in again. Even from short of a length. Brook opens the face and takes a single,25,Hyderabad,1,0,2,1,0.3333333333333333,0,2,0.2,True,1.0,20,193,192,19.666666666666668,9.762711864406779,0,10
3,0.3,Tendulkar,Agarwal,0,False,1,"on a length, tight line again, some shape, 127ks. Clipped away for one",25,Hyderabad,1,0,3,2,0.5,0,3,0.3,True,1.0,20,193,192,19.5,9.846153846153847,0,10
4,0.4,Tendulkar,Brook,4,False,0,"Brook is disdainful now. Gives him some width, and Brook dances down the track to drive Tendulkar over extra cover",25,Hyderabad,5,0,4,3,0.6666666666666666,0,4,0.4,True,5.0,20,193,188,19.333333333333332,9.724137931034484,0,10
5,0.5,Tendulkar,Brook,0,False,1,"looks like a slower one. Bowled at 123ks. On a length, Brook opens the face to short third",25,Hyderabad,5,0,5,4,0.8333333333333334,0,5,0.5,True,5.0,20,193,188,19.166666666666668,9.808695652173913,0,10
6,0.6,Tendulkar,Brook,0,False,1,"well bowled. Brook is making room, and he follows him with a slower bouncer at 107ks. Brook manages to cut it down but straight to point",25,Hyderabad,5,0,6,5,1.0,0,6,0.6,True,5.0,20,193,188,19.0,9.894736842105264,0,10
7,1.1,Behrendorff,Agarwal,0,False,1,"on target, top of off. Defended",25,Hyderabad,5,1,1,6,1.1666666666666667,1,1,1.1,True,4.285714285714286,20,193,188,18.833333333333332,9.982300884955754,0,10
8,1.2,Behrendorff,Agarwal,1,False,0,"Agarwal is looking to advance, Behrendorff goes shorter and follows him. The mis-hit gets him a single to mid-on",25,Hyderabad,6,1,2,7,1.3333333333333333,1,2,1.2,True,4.5,20,193,187,18.666666666666668,10.017857142857142,0,10
9,1.3,Behrendorff,Brook,4,False,0,sumptuous. Push-drive on the up. Threads the needle between cover-point and cover. Replay this a hundred times,25,Hyderabad,10,1,3,8,1.5,1,3,1.3,True,6.666666666666667,20,193,183,18.5,9.891891891891891,0,10
10,1.4,Behrendorff,Brook,0,True,1,"short ball, cramps him up, and draws the top edge. This is not a slower edge, and it is at his shoulder. Brook is surprised by it. Looking to hit it still, and the edge settles at cover-point",25,Hyderabad,10,1,4,9,1.6666666666666667,1,4,1.4,True,6.0,20,193,183,18.333333333333332,9.981818181818182,1,9
11,1.5,Behrendorff,Tripathi,1,False,0,"short of a length, outside off, runs this down to deep third for one",25,Hyderabad,11,1,5,10,1.8333333333333333,1,5,1.5,True,6.0,20,193,182,18.166666666666668,10.01834862385321,1,9
12,1.6,Behrendorff,Agarwal,1,False,0,cut away to deep third for one,25,Hyderabad,12,1,6,11,2.0,1,6,1.6,True,6.0,20,193,181,18.0,10.055555555555555,1,9
61,10.1,Meredith,Agarwal,4,False,0,"Agarwal backs away, Meredith follows him with a length, and he punches it down the ground. Gets superb timiing on it. Beats long-on",25,Hyderabad,16,10,1,12,2.1666666666666665,2,1,2.1,True,7.384615384615385,20,193,177,17.833333333333332,9.925233644859814,1,9
62,10.2,Meredith,Agarwal,1,False,0,gets inside the line to work this to deep square,25,Hyderabad,17,10,2,13,2.3333333333333335,2,2,2.2,True,7.285714285714286,20,193,176,17.666666666666668,9.962264150943396,1,9
63,10.3,Meredith,Klaasen,1,False,0,keeps the pull down for a single to deep square leg,25,Hyderabad,18,10,3,14,2.5,2,3,2.3,True,7.2,20,193,175,17.5,10.0,1,9
64,10.4,Meredith,Agarwal,1,False,0,slower ball as Agarwal backs away again. Just the single to long-on,25,Hyderabad,19,10,4,15,2.6666666666666665,2,4,2.4,True,7.125,20,193,174,17.333333333333332,10.038461538461538,1,9
65,10.5,Meredith,Klaasen,4,False,0,"he has smacked this pull. Short again, but this time outside off, Stands tall and goes over midwicket. Right out of the screws",25,Hyderabad,23,10,5,16,2.8333333333333335,2,5,2.5,True,8.117647058823529,20,193,170,17.166666666666668,9.902912621359222,1,9
66,10.6,Meredith,Klaasen,0,False,1,"on a length, just outside off, pushed to cover",25,Hyderabad,23,10,6,17,3.0,2,6,2.6,True,7.666666666666667,20,193,170,17.0,10.0,1,9
