Ball,Ball Number,Bowler,Batsman,Runs,is_wicket,bowler_good,Description,match_id,total_runs,over,ball_in_over,continuous_ball_index,overs_bowled,overs_completed,balls_in_current_over,actual_over_ball,is_original_ball_number,current_run_rate,total_overs,target,runs_needed,overs_remaining,required_run_rate,wickets_fallen,wickets_in_hand
1,0.1,Mayers,Shaw,1,False,0,"length ball at 123 kph seaming in toward middle, Shaw shuffles across to flick through square leg for one.",3,1,0,1,0,0.16666666666666666,0,1,0.1,True,1.0,20,194,193,19.833333333333332,9.73109243697479,0,10
2,0.2,Mayers,Warner,0,False,1,"length ball angled wide outside off, goes to cut and misses.",3,1,0,2,1,0.3333333333333333,0,2,0.2,True,1.0,20,194,193,19.666666666666668,9.813559322033898,0,10
3,0.3,Mayers,Warner,4,False,0,"fullish length on sixth stump, slaps this 123 kph delivery in the gap between mid-off and extra cover to the rope.",3,5,0,3,2,0.5,0,3,0.3,True,5.0,20,194,189,19.5,9.692307692307692,0,10
4,0.4,Mayers,Warner,0,False,1,"short on seventh stump, cuts this crisply but straight to cover.",3,5,0,4,3,0.6666666666666666,0,4,0.4,True,5.0,20,194,189,19.333333333333332,9.775862068965518,0,10
5,0.5,Mayers,Warner,0,False,1,"back of a length pitching on leg stump, angled away toward off, defended behind point.",3,5,0,5,4,0.8333333333333334,0,5,0.5,True,5.0,20,194,189,19.166666666666668,9.86086956521739,0,10
6,0.6,Mayers,Warner,1,False,0,"length ball outside off, slapped to cover, diving stop by Rahul turns four into one.",3,6,0,6,5,1.0,0,6,0.6,True,6.0,20,194,188,19.0,9.894736842105264,0,10
7,1.1,Unadkat,Warner,1,False,0,"fullish length ball on sixth stump, goes to drive over mid-off and splices this off the outer half of the bat floating just wide of mid-off tracking right landing a yard out of reach for a single.",3,7,1,1,6,1.1666666666666667,1,1,1.1,True,6.0,20,194,187,18.833333333333332,9.929203539823009,0,10
8,1.2,Unadkat,Shaw,4,False,0,"133 kph delivery lands back of a length on off, superb back foot punch timed behind point to the rope.",3,11,1,2,7,1.3333333333333333,1,2,1.2,True,8.25,20,194,183,18.666666666666668,9.803571428571429,0,10
9,1.3,Unadkat,Shaw,1,False,0,"back of a length into the hips, goes back to flick this 133 kph delivery into midwicket for one.",3,12,1,3,8,1.5,1,3,1.3,True,8.0,20,194,182,18.5,9.837837837837839,0,10
10,1.4,Unadkat,Warner,4,False,0,"short on fourth stump at 129 kph, pulled firmly through midwicket to the rope. Ganguly and Ponting nod approvingly in the dugout.",3,16,1,4,9,1.6666666666666667,1,4,1.4,True,9.6,20,194,178,18.333333333333332,9.709090909090909,0,10
