Ball Number,Summary,Description,over,ball,Ball,bowler,batsman,Runs,is_wicket,bowler_score,bowler_good,match_id,city,is_extra,legal_delivery,legal_deliveries_count,overs_completed,balls_in_current_over,overs_bowled,actual_over_ball,is_original_ball_number,total_runs,current_run_rate,total_overs,target,runs_needed,overs_remaining,required_run_rate,wickets_fallen,wickets_in_hand
0.1,"Green to Rohit Sharma,FOUR runs","starts with an arm ball, which leaves the batsman after pitching, but Rohit late-cuts it between point and cover-point",0,1,1,Green,Rohit Sharma,4,False,-2.0,0,32,Abu Dhabi,False,True,1,0,1,0.16666666666666666,0.1,True,4,24.0,20,149,145,19.833333333333332,7.3109243697479,0,10
0.2,"Green to Rohit Sharma,no run","fuller this time, and Sharma is forced to defend",0,2,2,Green,Rohit Sharma,0,False,1.0,1,32,Abu Dhabi,False,True,2,0,2,0.3333333333333333,0.2,True,4,12.0,20,149,145,19.666666666666668,7.372881355932203,0,10
0.3,"Green to Rohit Sharma,1 run",again that slight swing away from the right-hand batsman. On a length. Worked to leg for one,0,3,3,Green,Rohit Sharma,1,False,-0.5,0,32,Abu Dhabi,False,True,3,0,3,0.5,0.3,True,5,10.0,20,149,144,19.5,7.384615384615385,0,10
0.4,"Green to de Kock,no run","again that slight swing , back into the left-hand bat. Defended to leg",0,4,4,Green,de Kock,0,False,1.0,1,32,Abu Dhabi,False,True,4,0,4,0.6666666666666666,0.4,True,5,7.5,20,149,144,19.333333333333332,7.448275862068966,0,10
0.5,"Green to de Kock,no run","fuller, middle and leg, defended to midwicket",0,5,5,Green,de Kock,0,False,1.0,1,32,Abu Dhabi,False,True,5,0,5,0.8333333333333334,0.5,True,5,6.0,20,149,144,19.166666666666668,7.513043478260869,0,10
0.6,"Green to de Kock,2 runs","quick, into the pads, nudged fine of short fine",0,6,6,Green,de Kock,2,False,-1.0,0,32,Abu Dhabi,False,True,6,0,6,1.0,0.6,True,7,7.0,20,149,142,19.0,7.473684210526316,0,10
1.1,"Cummins to Rohit Sharma,4 leg byes","short of a length, tight line, but it nips back in going too far down leg for four leg-byes",1,1,7,Cummins,Rohit Sharma,4,False,-0.25,0,32,Abu Dhabi,True,False,6,0,6,1.0,0.6,True,11,11.0,20,149,138,19.0,7.2631578947368425,0,10
1.2,"Cummins to Rohit Sharma,no run","fuller, just outside off, holding its line. Defended",1,2,8,Cummins,Rohit Sharma,0,False,1.0,1,32,Abu Dhabi,False,True,7,1,1,1.1666666666666667,1.1,True,11,9.428571428571429,20,149,138,18.833333333333332,7.327433628318585,0,10
1.3,"Cummins to Rohit Sharma,FOUR runs","nicely played. On a length, just around middle, but Rohit does really well to get inside the line and glances him fine of short fine leg",1,3,9,Cummins,Rohit Sharma,4,False,-2.0,0,32,Abu Dhabi,False,True,8,1,2,1.3333333333333333,1.2,True,15,11.25,20,149,134,18.666666666666668,7.178571428571428,0,10
1.4,"Cummins to Rohit Sharma,no run","short of a length, just outside off, defended",1,4,10,Cummins,Rohit Sharma,0,False,1.0,1,32,Abu Dhabi,False,True,9,1,3,1.5,1.3,True,15,10.0,20,149,134,18.5,7.243243243243243,0,10
1.5,"Cummins to Rohit Sharma,1 leg bye","straying into the pads again, lucky to get away with just the one leg-bye",1,5,11,Cummins,Rohit Sharma,1,False,-0.25,0,32,Abu Dhabi,True,False,9,1,3,1.5,1.3,True,16,10.666666666666666,20,149,133,18.5,7.1891891891891895,0,10
1.6,"Cummins to de Kock,no run","short of a length, 136ks, around off, pushed to point",1,6,12,Cummins,de Kock,0,False,1.0,1,32,Abu Dhabi,False,True,10,1,4,1.6666666666666665,1.4,True,16,9.600000000000001,20,149,133,18.333333333333332,7.254545454545455,0,10
2.1,"Prasidh to Rohit Sharma,no run","lovely outswinger first up. Dipping, on a length, just outside off, moving away late. Just doesn't get the edge",2,1,13,Prasidh,Rohit Sharma,0,False,1.0,1,32,Abu Dhabi,False,True,11,1,5,1.8333333333333335,1.5,True,16,8.727272727272727,20,149,133,18.166666666666668,7.321100917431192,0,10
2.2,"Prasidh to Rohit Sharma,FOUR runs","they are feeding his pull again? After bowling a lovely outswinger, Krishna goes short, and he is not quick enough to bother Sharma, who goes over square leg. Yorks the boundary",2,2,14,Prasidh,Rohit Sharma,4,False,-2.0,0,32,Abu Dhabi,False,True,12,1,6,2.0,1.6,True,20,10.0,20,149,129,18.0,7.166666666666667,0,10
2.3,"Prasidh to Rohit Sharma,FOUR runs","in the air, catchable high, but pierces the gap between point and cover-point. Wide length ball, swinging away, but he throws his bat at it",2,3,15,Prasidh,Rohit Sharma,4,False,-2.0,0,32,Abu Dhabi,False,True,13,2,1,2.1666666666666665,2.1,True,24,11.076923076923078,20,149,125,17.833333333333332,7.009345794392524,0,10
2.4,"Prasidh to Rohit Sharma,1 run","short of a length, around off, worked to leg for one",2,4,16,Prasidh,Rohit Sharma,1,False,-0.5,0,32,Abu Dhabi,False,True,14,2,2,2.3333333333333335,2.2,True,25,10.714285714285714,20,149,124,17.666666666666668,7.018867924528301,0,10
2.5,"Prasidh to de Kock,FOUR runs","he is not getting it right. Short, angling away to give him the width, and he is cut in front of backward point for four",2,5,17,Prasidh,de Kock,4,False,-2.0,0,32,Abu Dhabi,False,True,15,2,3,2.5,2.3,True,29,11.6,20,149,120,17.5,6.857142857142857,0,10
2.6,"Prasidh to de Kock,1 run","looks for the ramp, but Krishna goes wide at it and concedes just the single to square leg",2,6,18,Prasidh,de Kock,1,False,-0.5,0,32,Abu Dhabi,False,True,16,2,4,2.6666666666666665,2.4,True,30,11.25,20,149,119,17.333333333333332,6.865384615384616,0,10
3.1,"Cummins to de Kock,FOUR runs","cracked away. Just short of a length, but de Kock shows no respect. Clears the front leg, hits on the up, and clears wide mid-on easily",3,1,19,Cummins,de Kock,4,False,-2.0,0,32,Abu Dhabi,False,True,17,2,5,2.8333333333333335,2.5,True,34,12.0,20,149,115,17.166666666666668,6.699029126213592,0,10
3.2,"Cummins to de Kock,FOUR runs","even better. Totally disdainful. Length ball, outside off, but de Kock shows no regard. He slogs this over midwicket for four more",3,2,20,Cummins,de Kock,4,False,-2.0,0,32,Abu Dhabi,False,True,18,2,6,3.0,2.6,True,38,12.666666666666666,20,149,111,17.0,6.529411764705882,0,10
3.3,"Cummins to de Kock,1 run","full, just outside off, dug out to mid-off for one",3,3,21,Cummins,de Kock,1,False,-0.5,0,32,Abu Dhabi,False,True,19,3,1,3.1666666666666665,3.1,True,39,12.31578947368421,20,149,110,16.833333333333332,6.534653465346535,0,10
3.4,"Cummins to Rohit Sharma,no run","on a length, on off, Rohit is squared up a touch and ends up defending this back to Cummins",3,4,22,Cummins,Rohit Sharma,0,False,1.0,1,32,Abu Dhabi,False,True,20,3,2,3.3333333333333335,3.2,True,39,11.7,20,149,110,16.666666666666668,6.6,0,10
3.5,"Cummins to Rohit Sharma,no run","short of a length, hits the bat high as Sharma defends",3,5,23,Cummins,Rohit Sharma,0,False,1.0,1,32,Abu Dhabi,False,True,21,3,3,3.5,3.3,True,39,11.142857142857142,20,149,110,16.5,6.666666666666667,0,10
3.6,"Cummins to Rohit Sharma,no run",looks to drive on the up but this gets a little big and hits the splice of his bat. Fielded at cover-point,3,6,24,Cummins,Rohit Sharma,0,False,1.0,1,32,Abu Dhabi,False,True,22,3,4,3.6666666666666665,3.4,True,39,10.636363636363637,20,149,110,16.333333333333332,6.734693877551021,0,10
4.1,"Green to de Kock,FOUR runs","full toss, crunched past the bowler for four more. Long-on has no chance of cutting this",4,1,25,Green,de Kock,4,False,-2.0,0,32,Abu Dhabi,False,True,23,3,5,3.8333333333333335,3.5,True,43,11.217391304347826,20,149,106,16.166666666666668,6.556701030927835,0,10
4.2,"Green to de Kock,no run","on a length, the swing back in cramps him up on the cut",4,2,26,Green,de Kock,0,False,1.0,1,32,Abu Dhabi,False,True,24,3,6,4.0,3.6,True,43,10.75,20,149,106,16.0,6.625,0,10
