Ball Number,Summary,Description
19.1,"Unadkat to Miller,SIX runs","Yeah, wide and in the slot. It's launched over long-off. Miller carries Titans home."
18.6,"Cummins to Shankar,2 runs",Scores tied with a pull to the left of deep fine leg. Miller was hobbling but the throw was wide to the keeper's end. Was a shortish pacy ball at the body that had Vijay tuck his belly back while pulling
18.5,"Cummins to Miller,1 run","Wide and slow. Miller shapes to cut, may have considered letting it go as it might've been wide but then held back on going through with the cut. Gets it to deep point"
18.4,"Cummins to Miller,no run","Low full toss on off, pushed back to the bowler. 146ks"
18.3,"Cummins to Shankar,1 run","Yorker on off, driven off the bottom of the bat to long-on. Looked pace-on"
18.2,"Cummins to Miller,1 run","Slow bumper, pulled from outside off to deep midwicket"
18.1,"Cummins to Shankar,1 run","Bumper. Pacy and at the stumps, pulled to deep square leg"
17.6,"Unadkat to Shankar,1 run","Slow, wide and full. Slapped off the bottom of the bat, to long-off"
17.5,"Unadkat to Shankar,no run","Dipping yorker on off, Shankar was close to playing it too early but managed to delay jamming the bat and turning it to midwicket"
17.4,"Unadkat to Shankar,no run","Slower bouncer at the helmet. Looked to have beaten the pull, deflected to short third. No concussion check needed"
17.3,"Unadkat to Shankar,no run",Pushes the fullish ball outside off to cover
17.2,"Unadkat to Shankar,FOUR runs","Game's firmly in GT's bag now. Cutter, slightly on a back of length, on off, Vijay backed away upon impact and slapped it through extra cover"
17.1,"Unadkat to Shankar,FOUR runs","Top edges a pull behind the keeper, Klaasen chases valiantly but can't pull it in despite the dive. Was a slower bouncer around shoulder-height that was pulled from in front of the body"
16.6,"Cummins to Miller,FOUR runs","Slapped, misfield at cover costs four. Asking rate now under six. Wide and shortish, it went on the bounce to the right of the fielder. Went right through him"
16.5,"Cummins to Miller,no run","Wide on a three-quarter length, slapped to cover"
16.4,"Cummins to Miller,FOUR runs","This is Miller's playground, he knows the angles perfectly. Got a length ball that didn't bounce much but he got his hands low and rolled the wrist on the pull into the ground, four to long leg"
16.3,"Cummins to Shankar,1 run","Pacy again. Bumper on middle and leg, tries to hook it but gets it off the sticker to deep fine leg"
16.2,"Cummins to Shankar,no run","Low fully. Pace-on, from over the wicket. Pushed from off stump to cover"
16.1,"Cummins to B Sai Sudharsan,OUT","Pulled, holes out to deep midwicket. Was a length ball that was hit from deep in the crease, Sudharsan tried to clear Abhishek but a sliding catch was taken in the end"
15.6,"Markande to Miller,SIX runs","24 runs off the over and that is likely to be decisive. Not violent but it travels far. Looped up on the fuller side of length outside off, Miller takes a small stride across, reaches out with his upper body and free-swings it with a rotational arc"
15.5,"Markande to B Sai Sudharsan,1 run","Wide on a fullish length, reaches out and has a one-handed swipe to point"
15.4,"Markande to B Sai Sudharsan,SIX runs",GT have marked their target and these two turning it in their favour in this over. Sudharsan dances down and thumps it over wide long-on with a free swing
15.3,"Markande to Miller,1 run","Wide again, tries to slap it but goes off the underedge behind the keeper"
15.3,"Markande to Miller,1 wide","Wide again, outside off and goes past the bat swing"
15.2,"Markande to Miller,FOUR runs","He is breaking free. Dances down and creams it over extra cover. Was a wide length ball, he reached out"
15.1,"Markande to Miller,FOUR runs","Miller finally connects, clubs it between long-on and deep midwicket. Was a length ball tossed up outside off. Miller hasn't been running freely, so he might be looking to break free"
15.1,"Markande to Miller,1 wide","Wide on a length, goes too far away and is let go"
14.6,"Bhuvneshwar to Miller,1 run","Bhuvi has Miller reaching out to end the over quietly. Length ball, he had to reach out and try to carve it. Plinked it to the left of short third"
14.5,"Bhuvneshwar to Miller,no run","Tries to muscle it through cover, cloths it into the grass instead. Was a length ball angling away through fifth"
14.4,"Bhuvneshwar to B Sai Sudharsan,1 run",Clips the length ball to deep midwicket
14.4,"Bhuvneshwar to B Sai Sudharsan,1 wide","Bumper goes too high. 129ks, fifth-stump line, Sudharsan wound down and then leapt to try and go for another upper cut but it kept sponging up"
14.3,"Bhuvneshwar to Miller,1 run","Length on middle and off, punched towards mid-off and Miller takes off for the run"
14.2,"Bhuvneshwar to B Sai Sudharsan,1 run","Upper cuts it fine. Ball rolls to deep third. 127ks and short, angling towards fifth, Sudharsan stood upright and helped it along, didn't get all the pace he was looking for"
14.1,"Bhuvneshwar to Miller,1 run","Shortish outside off, 127ks, pulled to deep midwicket"
13.6,"Sundar to Miller,1 run","Length outside off, chopped to deep forward point"
13.5,"Sundar to B Sai Sudharsan,1 run","Length outside off, clipped to midwicket. Bowler chases it"
13.4,"Sundar to Miller,1 run",Chops it from outside off to deep cover
13.3,"Sundar to Miller,2 runs","Quick two, full-length dive and slide. Miller takes two when it wasn't on. Was a length ball outside off that was cut to deep point's right. Shahbaz ran across and threw it like in regulation, maybe should've yanked it harder"
13.2,"Sundar to B Sai Sudharsan,1 run","Length middle, worked legside"
13.1,"Sundar to B Sai Sudharsan,FOUR runs","Uses the angle and the bounce, the shortish length ball rose just above pad height and was delicately pulled fine and in the gap"
12.6,"Cummins to B Sai Sudharsan,1 run","Length at the stumps, clipped to midwicket. Titans take the timeout early"
12.5,"Cummins to B Sai Sudharsan,FOUR runs","Sudharsan is ready for the pace-on Test-like ball. It's length over fourth, 139ks, he waits and guides it with an open face, wide of the diving short-third fielder"
12.5,"Cummins to B Sai Sudharsan,1 wide","Get the slower bouncer wrong for a change. This bounces too high. Line was outside off, Sudharsan jumped up to try and slap it high. Didn't have to in the end."
12.4,"Cummins to B Sai Sudharsan,no run","Back to pace off to get another underedge. Offcutter on a shortish length, spun away, Sudharsan tried to carve it square"
12.3,"Cummins to Miller,1 run","Pace on this time. 142ks, length around fifth, guided to deep third."
12.2,"Cummins to Miller,no run","Real short slower one. Tennis-ball bounce over fifth-stump, Miller is caught between shots. Ended up trying to knock it to the offside but underedged it to the grass behind"
12.1,"Cummins to B Sai Sudharsan,1 run","Slow and shortish, angling in towards fourth, pulled to midwicket"
11.6,"Unadkat to B Sai Sudharsan,1 run","Fullish and slow, worked to the legside"
11.5,"Unadkat to B Sai Sudharsan,FOUR runs","Similar shot to the first ball but this time he went straighter and higher. The length was fullish but line was around middle and off, pace on too, so he could pump it through the line with ease"
11.4,"Unadkat to Miller,1 run","Slower one has Miller defending closer to the body than he probably would've otherwise. 110ks, on a length, angling in towards off. He shaped to slap it but ended up bunting it towards point"
11.3,"Unadkat to Miller,no run","Length outside off, slapped to cover point"
11.2,"Unadkat to B Sai Sudharsan,1 run","Slower bouncer, 114ks, seemed like it turned in. Pulled from fourth stump to deep square leg"
11.1,"Unadkat to B Sai Sudharsan,no run","Driven on the up, to mid-off. Three-quarter length, fifth-stump line, hit just below the sticker of the bat"
10.6,"Cummins to Miller,no run","Length on middle, clipped to midwicket, 138ks"
10.5,"Cummins to B Sai Sudharsan,1 run","Into the pitch, 113ks, outside off, whipped with a cross-bat towards long-on"
10.4,"Cummins to Miller,1 run","Length just outside off, guided to deep third"
10.3,"Cummins to B Sai Sudharsan,1 run","Pace-on. Fullish on off, worked to long-on"
10.2,"Cummins to Miller,1 run","Length on the hips, helped to deep fine leg"
10.1,"Cummins to B Sai Sudharsan,1 run","Starts with a cutter into a length. Slapped from outside off, to extra"
9.6,"Markande to B Sai Sudharsan,1 run","Wide and full, driven to depp cover"
9.5,"Markande to B Sai Sudharsan,no run","Tries to run it to third, misses. Slider is wide on a length, Sudharsan reached out with his upper body, had too far to reach"
9.4,"Markande to Miller,1 run","Sits up for the cut, spun away too, so it must have been the googly. 83ks, hit to deep point"
9.3,"Markande to B Sai Sudharsan,1 run","Full on leg, swept to deep-backward square"
9.2,"Markande to Miller,1 run","Fullish on off, worked to long-on"
9.1,"Markande to Gill,OUT","Gill holes out to long-on. Mistake in execution cos the ball was in his slot. Slow on leg, 89ks, he danced down and probably got too close to the pitch. Maybe he wanted to go wider. Markande and SRH will take that with both hands"
8.6,"Sundar to Gill,1 run","Length on fifth, steered to the left of deep point. Timeout called"
8.5,"Sundar to Gill,2 runs","Length on middle, clipped to the square-leg outfield. Fielder doesn't have to run that much but the batters scamper through anyway"
