Ball Number,over,ball,Ball,bowler,bowler_role,batsman,batsman_role,Runs,is_wicket,bowler_score,match_id,city,stadium,Stadium_Type,is_extra,legal_delivery,legal_deliveries_count,overs_completed,overs_bowled,total_runs,current_run_rate,total_overs,target,runs_needed,overs_remaining,required_run_rate,wickets_fallen,wickets_in_hand,Ground_Type,innings,result,year
0.1,0,1,1,Mohammed Shami,Bowlers,Devon Conway,Batters,0,False,1.0,1,Ahmedabad,Narendra Modi Stadium,Large,False,True,1,0,0.1666666666666666,0,0.0,20,179,179,19.83333333333333,9.025210084033612,0,10,Large,1,lose,2023
0.2,0,2,2,Mohammed Shami,Bowlers,Devon Conway,Batters,1,False,-0.25,1,Ahmedabad,Narendra Modi Stadium,Large,False,True,2,0,0.3333333333333333,1,3.0,20,179,178,19.666666666666668,9.050847457627118,0,10,Large,1,lose,2023
0.3,0,3,3,Mohammed Shami,Bowlers,Ruturaj Gaikwad,Batters,0,False,1.0,1,Ahmedabad,Narendra Modi Stadium,Large,False,True,3,0,0.5,1,2.0,20,179,178,19.5,9.128205128205128,0,10,Large,1,lose,2023
0.4,0,4,4,Mohammed Shami,Bowlers,Ruturaj Gaikwad,Batters,1,False,-0.5,1,Ahmedabad,Narendra Modi Stadium,Large,False,True,4,0,0.6666666666666666,2,3.0,20,179,177,19.33333333333333,9.155172413793103,0,10,Large,1,lose,2023
0.5,0,5,5,Mohammed Shami,Bowlers,Devon Conway,Batters,0,False,1.0,1,Ahmedabad,Narendra Modi Stadium,Large,False,True,5,0,0.8333333333333334,2,2.4,20,179,177,19.166666666666668,9.234782608695651,0,10,Large,1,lose,2023
0.6,0,6,6,Mohammed Shami,Bowlers,Devon Conway,Batters,0,False,1.0,1,Ahmedabad,Narendra Modi Stadium,Large,False,True,6,0,1.0,2,2.0,20,179,177,19.0,9.31578947368421,0,10,Large,1,lose,2023
1.1,1,1,7,Hardik Pandya,All-Rounders,Ruturaj Gaikwad,Batters,4,False,-2.0,1,Ahmedabad,Narendra Modi Stadium,Large,False,True,7,1,1.1666666666666667,6,5.142857142857142,20,179,173,18.83333333333333,9.185840707964603,0,10,Large,1,lose,2023
1.2,1,2,8,Hardik Pandya,All-Rounders,Ruturaj Gaikwad,Batters,0,False,1.0,1,Ahmedabad,Narendra Modi Stadium,Large,False,True,8,1,1.3333333333333333,6,4.5,20,179,173,18.666666666666668,9.267857142857142,0,10,Large,1,lose,2023
1.3,1,3,9,Hardik Pandya,All-Rounders,Ruturaj Gaikwad,Batters,4,False,-2.0,1,Ahmedabad,Narendra Modi Stadium,Large,False,True,9,1,1.5,10,6.666666666666667,20,179,169,18.5,9.135135135135137,0,10,Large,1,lose,2023
1.4,1,4,10,Hardik Pandya,All-Rounders,Ruturaj Gaikwad,Batters,1,False,-0.5,1,Ahmedabad,Narendra Modi Stadium,Large,False,True,10,1,1.6666666666666663,11,6.6000000000000005,20,179,168,18.33333333333333,9.163636363636364,0,10,Large,1,lose,2023
1.5,1,5,11,Hardik Pandya,All-Rounders,Devon Conway,Batters,1,False,-0.5,1,Ahmedabad,Narendra Modi Stadium,Large,False,True,11,1,1.8333333333333333,12,6.545454545454545,20,179,167,18.166666666666668,9.192660550458717,0,10,Large,1,lose,2023
1.6,1,6,12,Hardik Pandya,All-Rounders,Ruturaj Gaikwad,Batters,1,False,-0.5,1,Ahmedabad,Narendra Modi Stadium,Large,False,True,12,1,2.0,13,6.5,20,179,166,18.0,9.22222222222222,0,10,Large,1,lose,2023
2.1,2,1,13,Mohammed Shami,Bowlers,Ruturaj Gaikwad,Batters,1,False,-0.5,1,Ahmedabad,Narendra Modi Stadium,Large,False,True,13,2,2.1666666666666665,14,6.461538461538462,20,179,165,17.833333333333332,9.25233644859813,0,10,Large,1,lose,2023
2.2,2,2,14,Mohammed Shami,Bowlers,Devon Conway,Batters,0,True,5.0,1,Ahmedabad,Narendra Modi Stadium,Large,False,True,14,2,2.333333333333333,14,6.0,20,179,165,17.666666666666668,9.339622641509433,1,9,Large,1,lose,2023
2.3,2,3,15,Mohammed Shami,Bowlers,Moeen Ali,All-Rounders,0,False,1.0,1,Ahmedabad,Narendra Modi Stadium,Large,False,True,15,2,2.5,14,5.6,20,179,165,17.5,9.428571428571429,1,9,Large,1,lose,2023
2.4,2,4,16,Mohammed Shami,Bowlers,Moeen Ali,All-Rounders,0,False,1.0,1,Ahmedabad,Narendra Modi Stadium,Large,False,True,16,2,2.6666666666666665,14,5.25,20,179,165,17.333333333333332,9.51923076923077,1,9,Large,1,lose,2023
2.5,2,5,17,Mohammed Shami,Bowlers,Moeen Ali,All-Rounders,0,False,1.0,1,Ahmedabad,Narendra Modi Stadium,Large,False,True,17,2,2.833333333333333,14,4.941176470588235,20,179,165,17.166666666666668,9.611650485436892,1,9,Large,1,lose,2023
2.6,2,6,18,Mohammed Shami,Bowlers,Moeen Ali,All-Rounders,0,False,1.0,1,Ahmedabad,Narendra Modi Stadium,Large,False,True,18,2,3.0,14,4.666666666666667,20,179,165,17.0,9.705882352941176,1,9,Large,1,lose,2023
3.1,3,1,19,Josh Little,Bowlers,Ruturaj Gaikwad,Batters,6,False,-3.0,1,Ahmedabad,Narendra Modi Stadium,Large,False,True,19,3,3.1666666666666665,20,6.315789473684211,20,179,159,16.833333333333332,9.445544554455449,1,9,Large,1,lose,2023
3.2,3,2,20,Josh Little,Bowlers,Ruturaj Gaikwad,Batters,4,False,-2.0,1,Ahmedabad,Narendra Modi Stadium,Large,False,True,20,3,3.333333333333333,24,7.199999999999999,20,179,155,16.666666666666668,9.3,1,9,Large,1,lose,2023
3.3,3,3,21,Josh Little,Bowlers,Ruturaj Gaikwad,Batters,1,False,-0.5,1,Ahmedabad,Narendra Modi Stadium,Large,False,True,21,3,3.5,25,7.142857142857143,20,179,154,16.5,9.333333333333334,1,9,Large,1,lose,2023
3.4,3,4,22,Josh Little,Bowlers,Moeen Ali,All-Rounders,0,False,1.0,1,Ahmedabad,Narendra Modi Stadium,Large,False,True,22,3,3.6666666666666665,25,6.818181818181818,20,179,154,16.333333333333332,9.428571428571429,1,9,Large,1,lose,2023
3.5,3,5,23,Josh Little,Bowlers,Moeen Ali,All-Rounders,4,False,-2.0,1,Ahmedabad,Narendra Modi Stadium,Large,False,True,23,3,3.8333333333333335,29,7.565217391304348,20,179,150,16.166666666666668,9.278350515463917,1,9,Large,1,lose,2023
3.6,3,6,24,Josh Little,Bowlers,Moeen Ali,All-Rounders,0,False,1.0,1,Ahmedabad,Narendra Modi Stadium,Large,False,True,24,3,4.0,29,7.25,20,179,150,16.0,9.375,1,9,Large,1,lose,2023
4.1,4,1,25,Mohammed Shami,Bowlers,Ruturaj Gaikwad,Batters,0,False,1.0,1,Ahmedabad,Narendra Modi Stadium,Large,False,True,25,4,4.166666666666667,29,6.959999999999999,20,179,150,15.833333333333332,9.473684210526317,1,9,Large,1,lose,2023
4.2,4,2,26,Mohammed Shami,Bowlers,Ruturaj Gaikwad,Batters,1,False,-0.5,1,Ahmedabad,Narendra Modi Stadium,Large,False,True,26,4,4.333333333333333,30,6.923076923076923,20,179,149,15.666666666666668,9.51063829787234,1,9,Large,1,lose,2023
4.3,4,3,27,Mohammed Shami,Bowlers,Moeen Ali,All-Rounders,4,False,-2.0,1,Ahmedabad,Narendra Modi Stadium,Large,False,True,27,4,4.5,34,7.555555555555555,20,179,145,15.5,9.35483870967742,1,9,Large,1,lose,2023
4.4,4,4,28,Mohammed Shami,Bowlers,Moeen Ali,All-Rounders,1,False,-1.0,1,Ahmedabad,Narendra Modi Stadium,Large,True,False,27,4,4.5,35,7.777777777777778,20,179,144,15.5,9.290322580645162,1,9,Large,1,lose,2023
4.4,4,4,29,Mohammed Shami,Bowlers,Moeen Ali,All-Rounders,6,False,-3.0,1,Ahmedabad,Narendra Modi Stadium,Large,False,True,28,4,4.666666666666667,41,8.785714285714285,20,179,138,15.333333333333332,9.0,1,9,Large,1,lose,2023
