pair_id,bowler,batsman,balls_faced,Runs,is_wicket
1,Abdul Samad,Deepak Hooda,3,2,0
2,Abdul Samad,Kedar Jadhav,1,0,1
3,Abdul Samad,MS Dhoni,15,24,0
4,Abdul Samad,Nicholas Pooran,6,28,0
5,Abdul Samad,Rahul Tripathi,3,6,0
6,Abdul Samad,Ravindra Jadeja,7,10,0
7,Abdul Samad,Sam Curran,2,7,0
8,Abhishek Sharma,AB de Villiers,3,2,0
9,Abhishek Sharma,Aaron Finch,2,1,1
10,Abhishek Sharma,Devdutt Padikkal,5,10,0
11,Abhishek Sharma,Eoin Morgan,2,2,0
12,Abhishek Sharma,Glenn Maxwell,1,1,0
13,Abhishek Sharma,James Neesham,1,0,1
14,Abhishek Sharma,Jos Buttler,7,13,0
15,Abhishek Sharma,KL Rahul,1,0,1
16,Abhishek Sharma,Kedar Jadhav,3,2,0
17,Abhishek Sharma,Kieron Pollard,4,4,1
18,Abhishek Sharma,Liam Livingstone,3,3,0
19,Abhishek Sharma,MS Dhoni,3,2,0
20,Abhishek Sharma,Nicholas Pooran,4,15,0
21,Abhishek Sharma,Rishabh Pant,11,18,0
22,Abhishek Sharma,Robin Uthappa,3,2,0
23,Abhishek Sharma,Sai Sudharsan,1,1,0
24,Abhishek Sharma,Sanju Samson,11,18,0
25,Abhishek Sharma,Shikhar Dhawan,8,9,0
26,Abhishek Sharma,Shimron Hetmyer,2,2,0
27,Abhishek Sharma,Shreyas Iyer,4,5,0
28,Abhishek Sharma,Shubman Gill,10,21,0
29,Abhishek Sharma,Suryakumar Yadav,2,1,0
30,Abhishek Sharma,Virat Kohli,2,3,0
31,Adam Milne,Ambati Rayudu,3,1,0
32,Adam Milne,Dwayne Bravo,3,8,0
33,Adam Milne,Eoin Morgan,3,1,0
34,Adam Milne,Glenn Maxwell,15,33,0
35,Adam Milne,MS Dhoni,3,1,1
36,Adam Milne,Moeen Ali,2,0,1
37,Adam Milne,Rahul Tripathi,7,9,0
38,Adam Milne,Ruturaj Gaikwad,13,12,0
39,Adam Milne,Shubman Gill,2,1,0
40,Adam Milne,Srikar Bharat,1,1,0
41,Adam Milne,Venkatesh Iyer,7,18,0
42,Adam Milne,Virat Kohli,9,15,1
43,Adam Zampa,Abhinav Manohar,4,7,1
44,Adam Zampa,Ajinkya Rahane,2,2,0
45,Adam Zampa,Barinder Sran,1,1,0
46,Adam Zampa,Bhuvneshwar Kumar,2,1,1
47,Adam Zampa,Chris Morris,6,4,0
48,Adam Zampa,David Miller,5,6,0
49,Adam Zampa,Deepak Hooda,2,6,1
50,Adam Zampa,Devon Conway,3,1,1
51,Adam Zampa,Dinesh Karthik,2,0,1
52,Adam Zampa,Faf du Plessis,11,14,0
53,Adam Zampa,Glenn Maxwell,5,6,0
54,Adam Zampa,Gurkeerat Singh Mann,8,7,0
55,Adam Zampa,Hardik Pandya,10,35,0
