Ball Number,Summary,Description,over,ball,Ball
0.1,"Malinga to Smith,no run","Malinga starts with a ball that lasers in towards the batsman's toes, Smith gets his feet out of the way and defends that from within the crease, superb start from Malinga",0,1,1
0.2,"Malinga to Smith,no run","length ball swerving away just outside off, there's a typical Dwayne Smith slog, meets thin air",0,2,2
0.3,"Malinga to Smith,no run","length ball on middle and leg, cramps up Smith who blocks it towards mid-on",0,3,3
0.4,"Malinga to Smith,FOUR runs","length ball is slugged off the front foot past cover, this is a quick outfield at Eden Gardens and Smith has connected well, that's four",0,4,4
0.5,"Malinga to Smith,no run","slingy full ball from Malinga, punched back towards the bowler who takes the sting out of that shot with an outstretched right hand",0,5,5
0.6,"Malinga to Smith,1 run","full and on the pads, Smith gets deep in the crease and taps the ball towards midwicket for a single to keep the strike, just five off the first over",0,6,6
1.1,"McClenaghan to Smith,no run","swing and a miss from Smith, pitching on a length and angling across past the outside edge beyond off",1,1,7
1.2,"McClenaghan to Smith,no run","back of a length ball on middle and leg, sliced towards point, can't get it past the fielder there",1,2,8
1.3,"McClenaghan to Smith,no run","a touch short, a bit of width, slapped towards backward point, Pollard dives to his left to cut that off",1,3,9
1.4,"McClenaghan to Smith,SIX runs","Smith was feeling the pressure there after some dots, he goes for his favourite swipe towards midwicket, a thick top edge over the keeper's head for six, lucky but that should settle him a bit",1,4,10
1.5,"McClenaghan to Smith,1 run","a short of length ball lashed back towards the bowler, McClenaghan gets his hand on that and the ball rolls towards mid-on",1,5,11
1.6,"McClenaghan to Hussey,no run","Hussey, facing his first ball, goes for a pull as he sees the ball a bit short, he misses",1,6,12
2.1,"Malinga to Smith,no run","back of a length ball on off stump, defended back towards the bowler",2,1,13
2.2,"Malinga to Smith,1 run","into the pads, short of length, clipped towards square leg for a single",2,2,14
2.3,"Malinga to Hussey,no run","full toss outside off, Hussey looks to steer that through the covers, can't find the gap, plenty of dot balls already in this CSK innings",2,3,15
2.4,"Malinga to Hussey,1 leg bye","length ball on the pads, thuds off the pad towards backward square leg",2,4,16
2.5,"Malinga to Smith,no run","slower length ball from Malinga, on middle stump, patted back towards the bowler",2,5,17
2.6,"Malinga to Smith,1 run","that was a wide down the leg side - if the batsman had let it go. Smith wanted to help that past short fine leg for four, but he can only send it to the fielder there for a single",2,6,18
3.1,"Vinay to Smith,no run","short of a length, on off, opens the face but doesn't get a single",3,1,19
3.2,"Vinay to Smith,1 run","Smith's head falls away as he looks to pull, gets a single to long-on off the mis-hit",3,2,20
3.3,"Vinay to Hussey,no run","length ball outside off, angling away, squeezes under the bat as Hussey looks to drive. Low bounce there",3,3,21
3.4,"Vinay to Hussey,1 wide","another length ball beats the drive, but this is somewhat harshly called a wide",3,4,22
3.4,"Vinay to Hussey,no run",and Hussey is struggling to lay bat on ball. Beaten third time in a row on the drive as a length ball angles across him,3,4,23
3.5,"Vinay to Hussey,no run",and beaten on another cover drive. This time on the inside edge as the ball holds its line as opposed to going with the angle,3,5,24
