Ball Number,Summary,Description
48.6,"O'Rourke to Jadeja,FOUR runs","INDIA WIN THE CHAMPIONS TROPHY!A third title for them in the competition. And this surely has to be the most comprehensive. Unbeaten all through the tournament and have rarely been challenged at any stage. It is Ravindra Jadeja, who hits the winning runs. Pulls this past deep square leg and into the fence. Raises his arms in delight, so does Rahul as the rest of the team rushes out to the middle.A second straight ICC title for India."
48.5,"O'Rourke to Rahul,1 run","Banged in short, he nails the pull to deep square leg on the bounce"
48.4,"O'Rourke to Jadeja,1 run","Fuller in length on off, he pushes to mid-off and sets off"
48.3,"O'Rourke to Jadeja,no run","Good length ball on leg stump, the ball flicks his pad through to the keeper"
48.2,"O'Rourke to Rahul,1 run","Good length ball on off, he gets a thick inside-edge to the on-side for a run"
48.1,"O'Rourke to Rahul,2 runs","Yorker on off stump, he squirts this past a diving point for a couple of runs"
47.6,"Jamieson to Jadeja,no run","Back of a length ball outside off, he chops this to point and sets off for a run only to be sent back. Chapman underarms a direct throw but Jadeja is in"
47.5,"Jamieson to Jadeja,2 runs","Two more! India getting closer. Banged in short on middle, he hooks to deep backward square leg"
47.4,"Jamieson to Jadeja,2 runs","Back of a length ball on his hips, he works this to deep backward square leg and takes a couple of runs"
47.3,"Jamieson to Hardik,OUT",Straight up and taken by Jamieson. Is it not over yet?Sharp bouncer shoulder-high on off. Pandya is rushed into the pull and can only manage a top-edge that goes straight up and is held by Jamieson with ease
47.2,"Jamieson to Hardik,no run","Sharp short of a length ball outside off, he sways outside the line of that"
47.1,"Jamieson to Rahul,1 run","Back of a length ball on off, he mistimes towards the off side, they take a quick run"
46.6,"O'Rourke to Rahul,1 run","Banged in short at shoulder height, he pulls to deep square leg for a run"
46.5,"O'Rourke to Rahul,2 runs","Big miscommunication, but no harm done.Good length ball on leg stump, he works this fine to Rachin who fires in a throw. Both Rahul and Pandya are almost at the same end. Eventually, no harm done."
46.4,"O'Rourke to Hardik,1 run","Fuller in length outside off, he drives to deep cover"
46.3,"O'Rourke to Hardik,FOUR runs","BANG! Good length ball outside off, he jumps down the track and muscles it over mid-off. The ball goes to the fence one bounce"
46.2,"O'Rourke to Hardik,no run","Swish and a miss!Back of a length ball skidding through at pace on off. He was looking to pull that away, but gets beaten"
46.1,"O'Rourke to Rahul,1 run","Banged in short, he mistimes his pull to deep backward square leg for a run"
45.6,"Ravindra to Rahul,1 run","Floated outside off, he pushes to extra cover for a run. 11 off the over."
45.6,"Ravindra to Hardik,2 wide","Tossed up outside off, Pandya lets the ball go and that's been called a wide. Ooh, think that's a tight call. Latham missed and conceded a bye as well"
45.5,"Ravindra to Rahul,1 run",Shimmies down the track and eases the length ball to long-on for a run
45.4,"Ravindra to Rahul,no run","Quicker length ball outside off, he mistimes this back towards the bowler"
45.3,"Ravindra to Hardik,1 run","Flatter outside off, he chops this onto the pitch with the ball going to point. They take a quick run"
45.2,"Ravindra to Hardik,no run","Flatter outside off, he drills this to extra cover"
45.1,"Ravindra to Hardik,SIX runs",CRRRRUNCHED!Tossed up right in his arc on middle. He extends his arms and sends this sailing straight over the bowler's head for a huge six
44.6,"O'Rourke to Hardik,1 run","Length ball on his pads, Pandya flicks this with authority but there is a fielder stationed at deep midwicket"
44.5,"O'Rourke to Hardik,no run","Too short outside off stump, Pandya lets this go. Think he was looking for a wide, not given."
44.4,"O'Rourke to Hardik,no run",back of a length ball on Pandya's hips around middle and leg. He gets across and tips this to midwicket
44.3,"O'Rourke to Rahul,1 run",Good length ball again outside off as Rahul steers this to the right of Chapman at point for a run again
44.2,"O'Rourke to Rahul,2 runs","Good length ball outside off, he pats this to the left of point and they get two more"
44.1,"O'Rourke to Rahul,FOUR runs","Four to start the 45th over. Too full outside off, Rahul stays still and drills the cover drive away from the fielder deep."
43.6,"Ravindra to Rahul,1 run","Tossed up on middle, he ticks this to deep midwicket with soft hands where GP comes charging in and prevents the second. He fails to pick up cleanly and had the two committed to the second run, they would have been home easy"
43.5,"Ravindra to Hardik,1 run","Short, wide one more time. He cuts this hard to sweeper cover. Not the best over from Rachin so far"
43.4,"Ravindra to Hardik,2 runs","Whacked for a couple of runs. Dragged down again outside off, he clatters this through covers and to the right of sweeper"
43.3,"Ravindra to Rahul,1 run","Short and wide, he drills this to deep cover but only for a run"
43.2,"Ravindra to Rahul,no run","Floated outside off, he opens the face of the bat and steers to point"
43.1,"Ravindra to Hardik,1 run","Tossed up on leg stump, he pushes to long-on for a run"
42.6,"Santner to Rahul,no run",Angles the full-length ball on the stumps which is batted back to the bowler. Santner finishes with 2 for 46 off his ten
42.5,"Santner to Rahul,no run","Good length ball outside off, he pushes to the right of cover point. He wanted a run but is sent back again"
42.5,"Santner to Rahul,1 wide",Flatter and well down leg. Called a wide
42.4,"Santner to Hardik,1 run","Tad bit short on leg stump, he works this to the on-side for a quick run"
42.3,"Santner to Rahul,1 run","Tossed up on middle, he stays leg side of the ball and eases it to long-off"
42.2,"Santner to Rahul,no run","Floated outside off, he plays with an open face of the blade to cover point's right. Rahul wanted the run, Pandya didn't"
42.1,"Santner to Rahul,no run","Angles the length ball on middle, he prods forward and defends back to the bowler"
41.6,"Michael Bracewell to Hardik,no run","Slows up the length ball outside off, he gets half-forward and blocks"
41.5,"Michael Bracewell to Hardik,no run","Darted in on off stump, Pandya stretches forward and defends"
41.4,"Michael Bracewell to Hardik,no run","Flatter length ball on off, Pandya prods forward and defends"
41.3,"Michael Bracewell to Axar Patel,OUT","Axar falls and Bracewell has another one.That's not Axar's best moment, I must add. Floated on off stump, he takes a couple of steps down the track and looks to go over long-off. Completely mis-hits this and O'Rourke takes a safe catch."
41.2,"Michael Bracewell to Rahul,1 run","Tossed up on middle stump, he clips this past GP at short midwicket for a run"
41.1,"Michael Bracewell to Rahul,no run","Tossed up on off, he works this calmly to square leg"
40.6,"Santner to Rahul,1 run","Angled in on middle, he works this with soft hands towards deep midwicket for a run"
40.5,"Santner to Rahul,2 runs","Short and wide outside off, he stays back and slaps to the right of GP at short extra cover. He gets a hand to it, but can't prevent two. India's 200 is up"
40.4,"Santner to Rahul,SIX runs","Going, going, gone!Gently tossed up on leg stump. Rahul clears his front leg, gives himself some room and goes miles over long-on"
40.3,"Santner to Axar Patel,1 run",Drags down his length outside off as Axar stays back and punches to long-off
40.2,"Santner to Axar Patel,no run","Flattish length ball on off, he stays back and works this to midwicket"
40.1,"Santner to Rahul,1 run","Flatter length ball on middle stump, he plays with an open face of the bat to GP's left at extra cover and takes a quick run"
39.6,"Michael Bracewell to Axar Patel,no run","Slower length ball on middle, he works this to midwicket"
39.5,"Michael Bracewell to Rahul,1 run","A yes and no situation and they make it home, eventually Tossed up on off, he works this to Santner's left at square leg. Miscommunication but here was always a run on"
39.4,"Michael Bracewell to Rahul,no run","Flatter length ball around off stump, he stays back and pushes this to straight midwicket"
39.3,"Michael Bracewell to Rahul,no run",Turns the length ball into Rahul who stays back and pushes to cover
39.2,"Michael Bracewell to Rahul,no run","Tossed up outside off, he shimmies down the track and ticks to midwicket"
39.1,"Michael Bracewell to Rahul,no run","Flatter on off stump, he stays back and pushes to the bowler"
38.6,"Santner to Axar Patel,SIX runs","SMOKED for six!Tossed  up on the stumps, he brings out the slog sweep and nails that over deep backward square leg"
38.5,"Santner to Rahul,1 run","Floated outside off, he stretches forward and drives to deep cover"
38.4,"Santner to Shreyas Iyer,OUT","In the air and taken by Ravindra sprinting to his left from short fine leg.That is a lovely catch by him diving low. Stifle short on middle stump, he gets across looking to pull this fine, gets it off the splice. Rachin moves beautifully to his left and grabs this inches off the turf"
38.3,"Santner to Shreyas Iyer,no run","Floated outside off, he drives to extra cover"
38.2,"Santner to Shreyas Iyer,no run","Flatter on leg stump, he was looking to work this away but misses and is rapped on the pad"
38.1,"Santner to Shreyas Iyer,no run",Angled in on off stump as Iyer prods forward and pushes to cover
37.6,"O'Rourke to Axar Patel,no run","Again, confusion with the running but Iyer is safe.Good length on off, he pushes to mid-off and takes a few steps down the track before going back. Iyer commits to the single only to turn back in time. There is a direct hit, but Iyer was in. That will be drinks"
37.5,"O'Rourke to Axar Patel,FOUR runs","Pulled with disdain, and he gets a four for his effort. Stunning shot!Back of a length ball on the stumps, he whips it past mid-on with authority"
37.4,"O'Rourke to Axar Patel,no run","Sharp good length ball on middle, he ticks this to midwicket"
37.3,"O'Rourke to Shreyas Iyer,1 run","Banged in short outside off, he looks to just help this fine, gets a soft top-edge to deep fine leg"
37.2,"O'Rourke to Axar Patel,1 run","Back of a length ball on middle and leg, he works this to deep backward square leg"
37.1,"O'Rourke to Shreyas Iyer,1 run","Back of a length ball outside ff, he steers this down to deep third"
36.6,"Phillips to Shreyas Iyer,1 run","Floats this on off stump, he prods forward and eases past Phillips down to long-on"
36.5,"Phillips to Axar Patel,1 run","Flatter on middle and leg, worked to square leg for a run"
36.4,"Phillips to Shreyas Iyer,1 run","DROPPED by Jamieson at long-on!That is such a huge moment in the game. Floated on off, he charges down, gets too close to the ball and hits this straight to Jamieson who has dropped an absolute sitter"
36.3,"Phillips to Shreyas Iyer,SIX runs","WHACKED!Floated outside off stump. He bends down on one knee, gets under it and absolutely smokes this over deep midwicket for a 109m six. That is huge!"
36.2,"Phillips to Shreyas Iyer,no run","Goes flatter and drags his length on off, he pushes back to the bowler"
36.1,"Phillips to Axar Patel,1 run","Flatter on middle and leg, he chips this aerially to long-on for a run"
35.6,"O'Rourke to Shreyas Iyer,2 runs","Banged in short as expected outside off stump, he swivels and pulls to the right of deep midwicket for a couple of runs to end the over"
35.5,"O'Rourke to Axar Patel,1 run","Banged in short on middle, he splices to deep midwicket for a run"
35.4,"O'Rourke to Axar Patel,no run",On a length angling into Axar on middle. He whisks this to midwicket. Hit that fairly firmly but couldn't find the gap
35.3,"O'Rourke to Shreyas Iyer,1 run","Good length ball outside off, he carves it to deep point"
35.2,"O'Rourke to Axar Patel,1 run","Back of a length ball on middle stump, he stands tall and bunts to mid-on and sets off"
35.1,"O'Rourke to Axar Patel,no run","Good length ball angling into Axar on middle and leg, he mistimes to mid-on"
34.6,"Phillips to Shreyas Iyer,no run","Shreyas wanted the single, Axar sends him back... like he did the second ball of the over. This was a length ball on fourth that was defended to the keeper's left"
34.5,"Phillips to Shreyas Iyer,no run",Tucks it off the back foot through midwicket
34.4,"Phillips to Axar Patel,1 run",Stop the press. Phillips misfields. Just a single allowed though. He moved to the left in follow-through and slid low. Was a length ball at the stumps that was punched with the full-faced bat
34.3,"Phillips to Shreyas Iyer,1 run","Length on off, punched to long-on off the back foot"
34.2,"Phillips to Shreyas Iyer,no run",Dances down but has to slice it as the ball was shortish. Gets it to short third
34.1,"Phillips to Shreyas Iyer,no run",Beaten on the cut. Loopy shortish offbreak landed wide outside off and spun in a touch. Not much bounce or pace to work with
