Ball,Ball Number,Bowler,Batsman,Runs,Description,match_id,is_extra,runs_for_total,total_runs,over,ball_in_over,balls_bowled,overs_bowled,current_run_rate,total_overs,target,runs_needed,overs_remaining,required_run_rate,is_wicket,wickets_fallen,wickets_in_hand,cleaned_description,predicted_ball_type
1,0.1,Jamieson,Rohit Sharma,0.0,"Away swing, low bounce, beats the outside edge. Landed around fourth on a length and finished farther, Rohit crouches and reaches out with an open-faced bat. Close call but gets away with it",1,False,0.0,0.0,0,1,1,0.1666666666666666,0.0,50,252,252.0,49.833333333333336,5.05685618729097,False,0,10,away swing low bounce beat outside edge landed around fourth length finished farther rohit crouch reach openfaced bat close call get away,Good ball
2,0.2,Jamieson,Rohit Sharma,6.0,"Pulled behind square. Old-school Rohit, standing upright, waiting for the shortish ball to reach hip-height and helping it for a flat six.",1,False,6.0,6.0,0,2,2,0.3333333333333333,18.0,50,252,246.0,49.66666666666666,4.953020134228188,False,0,10,pulled behind square oldschool rohit standing upright waiting shortish ball reach hipheight helping flat six,Good ball
3,0.3,Jamieson,Rohit Sharma,2.0,"Touch too straight, clipped off the pads. Through square leg",1,False,2.0,8.0,0,3,3,0.5,16.0,50,252,244.0,49.5,4.929292929292929,False,0,10,touch straight clipped pad square leg,Full ball
4,0.4,Jamieson,Rohit Sharma,0.0,"Length on fourth, extra bounce. Good leave",1,False,0.0,8.0,0,4,4,0.6666666666666666,12.0,50,252,244.0,49.333333333333336,4.945945945945946,False,0,10,length fourth extra bounce good leave,Good ball
5,0.5,Jamieson,Rohit Sharma,0.0,"A bit of away movement, that was late swing. Landed around fifth and kept going away. Left alone",1,False,0.0,8.0,0,5,5,0.8333333333333334,9.6,50,252,244.0,49.16666666666666,4.96271186440678,False,0,10,bit away movement late swing landed around fifth kept going away left alone,Good ball
6,0.5,Jamieson,Rohit Sharma,0.0,"Wide and full, swing away but it's outside the tramline. Let go",1,False,0.0,8.0,0,5,6,0.8333333333333334,9.6,50,252,244.0,49.16666666666666,4.96271186440678,False,0,10,wide full swing away outside tramline let go,Good ball
7,0.6,Jamieson,Rohit Sharma,0.0,"Overpitched on fourth, 135ks, swing away. Driven softly, off the middle, to cover",1,False,0.0,8.0,0,6,7,1.0,8.0,50,252,244.0,49.0,4.979591836734694,False,0,10,overpitched fourth 135ks swing away driven softly middle cover,Full ball
8,1.1,O'Rourke,Gill,0.0,"Three-quarter length on fifth, Gill happy to take a decent front stride and punch it firmly to cover",1,False,0.0,8.0,1,1,8,1.1666666666666667,6.857142857142857,50,252,244.0,48.833333333333336,4.996587030716723,False,0,10,threequarter length fifth gill happy take decent front stride punch firmly cover,Good ball
9,1.2,O'Rourke,Rohit Sharma,0.0,"Fullish on fifth, 135ks, defended towards cover",1,False,0.0,8.0,1,2,9,1.3333333333333333,6.0,50,252,244.0,48.66666666666666,5.013698630136987,False,0,10,fullish fifth 135ks defended towards cover,Good ball
10,1.2,O'Rourke,Gill,0.0,"Tickles a leg glance this time, it's edgy. Half-volleys the keeper, wide enough to his left to ensure Latham can only parry it a few feet to his side. Was a full ball around leg",1,False,0.0,8.0,1,2,10,1.3333333333333333,6.0,50,252,244.0,48.66666666666666,5.013698630136987,False,0,10,tickle leg glance time edgy halfvolleys keeper wide enough left ensure latham parry foot side full ball around leg,Full ball
