Ball Number,over,ball,Ball,bowler,batsman,Runs,is_wicket,bowler_score,match_id,city,stadium,is_extra,legal_delivery,legal_deliveries_count,overs_completed,overs_bowled,total_runs,current_run_rate,total_overs,target,runs_needed,overs_remaining,required_run_rate,wickets_fallen,wickets_in_hand
0.1,0,1,1,Lasith Malinga,Dwayne Smith,0,False,1.0,60,Kolkata,Eden Gardens,False,True,1,0,0.16666666666666666,0,0.0,20,203,203,19.833333333333332,10.23529411764706,0,10
0.2,0,2,2,Lasith Malinga,Dwayne Smith,0,False,1.0,60,Kolkata,Eden Gardens,False,True,2,0,0.3333333333333333,0,0.0,20,203,203,19.666666666666668,10.322033898305085,0,10
0.3,0,3,3,Lasith Malinga,Dwayne Smith,0,False,1.0,60,Kolkata,Eden Gardens,False,True,3,0,0.5,0,0.0,20,203,203,19.5,10.41025641025641,0,10
0.4,0,4,4,Lasith Malinga,Dwayne Smith,4,False,-2.0,60,Kolkata,Eden Gardens,False,True,4,0,0.6666666666666666,4,6.0,20,203,199,19.333333333333332,10.293103448275863,0,10
0.5,0,5,5,Lasith Malinga,Dwayne Smith,0,False,1.0,60,Kolkata,Eden Gardens,False,True,5,0,0.8333333333333334,4,4.8,20,203,199,19.166666666666668,10.382608695652173,0,10
0.6,0,6,6,Lasith Malinga,Dwayne Smith,1,False,-0.5,60,Kolkata,Eden Gardens,False,True,6,0,1.0,5,5.0,20,203,198,19.0,10.421052631578947,0,10
1.1,1,1,7,Mitchell McClenaghan,Dwayne Smith,0,False,1.0,60,Kolkata,Eden Gardens,False,True,7,1,1.1666666666666667,5,4.285714285714286,20,203,198,18.833333333333332,10.513274336283187,0,10
1.2,1,2,8,Mitchell McClenaghan,Dwayne Smith,0,False,1.0,60,Kolkata,Eden Gardens,False,True,8,1,1.3333333333333333,5,3.75,20,203,198,18.666666666666668,10.607142857142856,0,10
1.3,1,3,9,Mitchell McClenaghan,Dwayne Smith,0,False,1.0,60,Kolkata,Eden Gardens,False,True,9,1,1.5,5,3.3333333333333335,20,203,198,18.5,10.702702702702704,0,10
1.4,1,4,10,Mitchell McClenaghan,Dwayne Smith,6,False,-3.0,60,Kolkata,Eden Gardens,False,True,10,1,1.6666666666666665,11,6.6000000000000005,20,203,192,18.333333333333332,10.472727272727273,0,10
1.5,1,5,11,Mitchell McClenaghan,Dwayne Smith,1,False,-0.5,60,Kolkata,Eden Gardens,False,True,11,1,1.8333333333333335,12,6.545454545454545,20,203,191,18.166666666666668,10.513761467889907,0,10
1.6,1,6,12,Mitchell McClenaghan,Michael Hussey,0,False,1.0,60,Kolkata,Eden Gardens,False,True,12,1,2.0,12,6.0,20,203,191,18.0,10.61111111111111,0,10
2.1,2,1,13,Lasith Malinga,Dwayne Smith,0,False,1.0,60,Kolkata,Eden Gardens,False,True,13,2,2.1666666666666665,12,5.538461538461539,20,203,191,17.833333333333332,10.710280373831777,0,10
2.2,2,2,14,Lasith Malinga,Dwayne Smith,1,False,-0.5,60,Kolkata,Eden Gardens,False,True,14,2,2.3333333333333335,13,5.571428571428571,20,203,190,17.666666666666668,10.754716981132075,0,10
2.3,2,3,15,Lasith Malinga,Michael Hussey,0,False,1.0,60,Kolkata,Eden Gardens,False,True,15,2,2.5,13,5.2,20,203,190,17.5,10.857142857142858,0,10
2.4,2,4,16,Lasith Malinga,Michael Hussey,1,False,-0.25,60,Kolkata,Eden Gardens,False,True,16,2,2.6666666666666665,14,5.25,20,203,189,17.333333333333332,10.903846153846155,0,10
2.5,2,5,17,Lasith Malinga,Dwayne Smith,0,False,1.0,60,Kolkata,Eden Gardens,False,True,17,2,2.8333333333333335,14,4.941176470588235,20,203,189,17.166666666666668,11.009708737864077,0,10
2.6,2,6,18,Lasith Malinga,Dwayne Smith,1,False,-0.5,60,Kolkata,Eden Gardens,False,True,18,2,3.0,15,5.0,20,203,188,17.0,11.058823529411764,0,10
3.1,3,1,19,Vinay Kumar,Dwayne Smith,0,False,1.0,60,Kolkata,Eden Gardens,False,True,19,3,3.1666666666666665,15,4.736842105263158,20,203,188,16.833333333333332,11.16831683168317,0,10
3.2,3,2,20,Vinay Kumar,Dwayne Smith,1,False,-0.5,60,Kolkata,Eden Gardens,False,True,20,3,3.3333333333333335,16,4.8,20,203,187,16.666666666666668,11.219999999999999,0,10
3.3,3,3,21,Vinay Kumar,Michael Hussey,0,False,1.0,60,Kolkata,Eden Gardens,False,True,21,3,3.5,16,4.571428571428571,20,203,187,16.5,11.333333333333334,0,10
3.4,3,4,22,Vinay Kumar,Michael Hussey,1,False,-1.0,60,Kolkata,Eden Gardens,True,False,21,3,3.5,17,4.857142857142857,20,203,186,16.5,11.272727272727273,0,10
3.4,3,4,23,Vinay Kumar,Michael Hussey,0,False,1.0,60,Kolkata,Eden Gardens,False,True,22,3,3.6666666666666665,17,4.636363636363637,20,203,186,16.333333333333332,11.387755102040817,0,10
3.5,3,5,24,Vinay Kumar,Michael Hussey,0,False,1.0,60,Kolkata,Eden Gardens,False,True,23,3,3.8333333333333335,17,4.434782608695652,20,203,186,16.166666666666668,11.505154639175258,0,10
3.6,3,6,25,Vinay Kumar,Michael Hussey,4,False,-2.0,60,Kolkata,Eden Gardens,False,True,24,3,4.0,21,5.25,20,203,182,16.0,11.375,0,10
4.1,4,1,26,Mitchell McClenaghan,Dwayne Smith,0,False,1.0,60,Kolkata,Eden Gardens,False,True,25,4,4.166666666666667,21,5.04,20,203,182,15.833333333333332,11.494736842105263,0,10
4.2,4,2,27,Mitchell McClenaghan,Dwayne Smith,1,False,-0.5,60,Kolkata,Eden Gardens,False,True,26,4,4.333333333333333,22,5.0769230769230775,20,203,181,15.666666666666668,11.553191489361701,0,10
4.3,4,3,28,Mitchell McClenaghan,Michael Hussey,0,False,1.0,60,Kolkata,Eden Gardens,False,True,27,4,4.5,22,4.888888888888889,20,203,181,15.5,11.67741935483871,0,10
4.4,4,4,29,Mitchell McClenaghan,Michael Hussey,0,True,5.0,60,Kolkata,Eden Gardens,False,True,28,4,4.666666666666667,22,4.714285714285714,20,203,181,15.333333333333332,11.804347826086957,1,9
4.5,4,5,30,Mitchell McClenaghan,Suresh Raina,0,False,1.0,60,Kolkata,Eden Gardens,False,True,29,4,4.833333333333333,22,4.551724137931035,20,203,181,15.166666666666668,11.934065934065933,1,9
4.6,4,6,31,Mitchell McClenaghan,Suresh Raina,4,False,-2.0,60,Kolkata,Eden Gardens,False,True,30,4,5.0,26,5.2,20,203,177,15.0,11.8,1,9
5.1,5,1,32,Vinay Kumar,Dwayne Smith,4,False,-2.0,60,Kolkata,Eden Gardens,False,True,31,5,5.166666666666667,30,5.806451612903225,20,203,173,14.833333333333332,11.662921348314608,1,9
5.2,5,2,33,Vinay Kumar,Dwayne Smith,0,False,1.0,60,Kolkata,Eden Gardens,False,True,32,5,5.333333333333333,30,5.625,20,203,173,14.666666666666668,11.795454545454545,1,9
5.3,5,3,34,Vinay Kumar,Dwayne Smith,0,False,1.0,60,Kolkata,Eden Gardens,False,True,33,5,5.5,30,5.454545454545454,20,203,173,14.5,11.931034482758621,1,9
5.4,5,4,35,Vinay Kumar,Dwayne Smith,0,False,1.0,60,Kolkata,Eden Gardens,False,True,34,5,5.666666666666667,30,5.294117647058823,20,203,173,14.333333333333332,12.069767441860465,1,9
5.5,5,5,36,Vinay Kumar,Dwayne Smith,1,False,-0.5,60,Kolkata,Eden Gardens,False,True,35,5,5.833333333333333,31,5.314285714285715,20,203,172,14.166666666666668,12.141176470588235,1,9
5.6,5,6,37,Vinay Kumar,Suresh Raina,0,False,1.0,60,Kolkata,Eden Gardens,False,True,36,5,6.0,31,5.166666666666667,20,203,172,14.0,12.285714285714286,1,9
6.1,6,1,38,Hardik Pandya,Dwayne Smith,4,False,-2.0,60,Kolkata,Eden Gardens,False,True,37,6,6.166666666666667,35,5.675675675675675,20,203,168,13.833333333333332,12.144578313253014,1,9
6.2,6,2,39,Hardik Pandya,Dwayne Smith,1,False,-0.5,60,Kolkata,Eden Gardens,False,True,38,6,6.333333333333333,36,5.684210526315789,20,203,167,13.666666666666668,12.21951219512195,1,9
6.3,6,3,40,Hardik Pandya,Suresh Raina,1,False,-0.25,60,Kolkata,Eden Gardens,False,True,39,6,6.5,37,5.6923076923076925,20,203,166,13.5,12.296296296296296,1,9
