Ground,Straight,Leg,Off,Ground_Type
Andhra Cricket Association-Visakhapatnam District Cricket Association Stadium,99,71,79,Large
Arun Jaitley Stadium,67,61,69,Small
Barsapara Cricket Stadium,74,60,66,Medium
Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,81,67,71,Large
Brabourne Stadium,68,50,54,Small
Dr DY Patil Sports Academy,91,64,71,Large
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,99,71,79,Large
Dubai International Cricket Stadium,83,61,69,Large
Eden Gardens,84,63,71,Large
Green Park,75,68,72,Medium
Himachal Pradesh Cricket Association Stadium,79,65,68,Medium
Holkar Cricket Stadium,69,60,67,Small
JSCA International Stadium Complex,74,68,70,Medium
M Chinnaswamy Stadium,76,64,63,Medium
MA Chidambaram Stadium,74,64,72,Medium
Maharaja Yadavindra Singh International Cricket Stadium,74,62,69,Medium
Maharashtra Cricket Association Stadium,73,68,60,Medium
Narendra Modi Stadium,89,66,74,Large
Punjab Cricket Association Stadium,75,68,69,Medium
Rajiv Gandhi International Stadium,72,63,70,Medium
Sardar Patel Stadium,89,66,74,Large
Saurashtra Cricket Association Stadium,50,28,36,Small
Sawai Mansingh Stadium,81,72,76,Large
Shaheed Veer Narayan Singh International Stadium,91,69,77,Large
Sharjah Cricket Stadium,58,62,64,Small
Sheikh Zayed Stadium,97,71,79,Large
Wankhede Stadium,72,64,68,Medium
Zayed Cricket Stadium,97,71,79,Large
